composer_name	nationality	birth	death
Johanna Müller-Hermann	Austrian	1878	1941
Franz Poenitz	German	1850	1912
Franz Hitz	Swiss	1828	1891
Louis Strack	unknown	unknown	unknown
George W. Meyer	American	1884	1959
Martino Frontini	Italian	1827	1909
Fernando Mattos	Brazilian	1963	2018
Nikolay Sokolov	Russian	1859	1922
George Enescu	Romanian	1881	1939
Aurélio Cavalcanti	Brazilian	1874	1915
Emil Horneman	Danish	1840	1906
Eugène Lacroix	British	1858	1950
Paula Szalit	Polish	1887	1920
George Whitefield Chadwick	American	1854	1931
Anton Thoms	unknown	1825	1888
Johann Nepomuk Hummel	Austrian	1778	1837
Wilhelm Goldner	German	1839	1907
Vasili Villoing	Russian	1850	1922
Mario Tarenghi	Italian	1870	1938
Louis XIII King of France	British	1601	1643
Henri Rosellen	French	1811	1876
Carlos Troyer	American	1837	1920
Frank Idle	unknown	unknown	1944
Julien Piaser	American	1935	unknown
Zygmunt Noskowski	Polish	1846	1909
Blas Parera	Spanish	1777	1840
Edgar de Glimes	unknown	unknown	unknown
Frank Bridge	British	1879	1922
Josef Matthias Hauer	Austrian	1883	1959
Robert Stine	unknown	1951	-
Francesco Cilea	Italian	1866	1950
Ernst Eduard Taubert	German	1838	1934
Georges Hüe	French	1858	1948
Gustav Krenkel	unknown	1876	1940
Carl Tausig	Polish	1841	1871
Glenn Patrick E. Sarcilla	unknown	unknown	unknown
Louis A. Drumheller	unknown	unknown	unknown
Ken Hannaford	American	1953	-
Adolphe David	French	1842	1897
William Seymer	Swedish	1890	1964
Johannes Ockeghem	Belgian	1410	1497
Rafael Sales Arantes	Brazilian	1980	unknown
Orazio Vecchi	Italian	1550	1605
Gustave Cazalis	unknown	unknown	unknown
Leevi Madetoja	Finnish	1887	1947
Alexander von Dusch	German	1789	1876
Ramana Kumar	Indian	1988	-
Józef Wielhorski	Polish	1816	1892
Cuthbert Harris	British	1870	1932
Grace Linn Sandy	unknown	1897	1928
Harry Farjeon	British	1878	1948
Cristóbal de Morales	Spanish	1500	1553
Luca Spada	unknown	unknown	unknown
Víctor Carbajo	Spanish	1970	-
Adam Falckenhagen	German	1697	1754
Zeyar Shwe	unknown	unknown	unknown
Jadwiga Sarnecka	Russian	1877	1913
Arthur Hinton	British	1869	1941
Émile Nerini	unknown	1882	1967
William Heller Nicholls	unknown	1874	1939
August Högn	German	1878	1961
Georg Simon Löhlein	German	1725	1781
Charles Balmer	German	1817	1892
Pedro Albéniz	Spanish	1795	1855
Felice Anerio	Italian	1560	1614
Émile Forgues	French	1823	1876
Alfred Hollins	British	1865	1942
Rafael Joseffy	Hungarian	1852	1915
Antony Choudens	French	1849	1902
Trygve Torjussen	Norwegian	1853	1950
Theodore John Tourrier	unknown	1846	1929
Joseph Hanisch	German	1812	1892
Franz Joseph Fröhlich	German	1780	1862
Carl Bohm	German	1844	1920
Francesco D'Ambrosio	unknown	unknown	unknown
Georges Merkling	French	1879	1935
Edmond Audran	French	1840	1901
Daniel Gottlob Türk	German	1750	1813
Friedrich Silcher	German	1789	1860
Balthasar Resinarius	German	1483	1544
Daniel Gregory Mason	American	1873	1953
D. Remiehleki	unknown	unknown	unknown
Albert Werner	German	1935	unknown
André Messager	British	1853	1929
Lucien Lambert I	American	1828	1896
Fréderic Rysler	unknown	unknown	unknown
Vasily Nechayev	Russian	1895	1956
Bob Atwell	unknown	unknown	unknown
Giovanni Corsi	Italian	1822	1890
Lukas Florczak	unknown	1994	-
Florido Tomeoni	French	1755	1820
Semyon Aksyonov	Russian	1784	1853
Leo A. Kempinski	German	1891	1958
Egbert Van Alstyne	American	1878	1951
Hélène Collin	unknown	1864	1930
Howard Chamberlain	unknown	1877	1910
Gaël Liardon	Swiss	1973	2018
Otto Schulhof	Austrian	1889	1958
János Bihari	Hungarian	1764	1827
Noël Brusa	unknown	unknown	unknown
Georges Bizet	French	1838	1875
Patrice Reich	unknown	unknown	unknown
Antonio Cifra	Italian	1584	1629
Johann D'Alquen	German	1800	1863
